GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.model,ResolverDefinition,115,0,12,0,25,0,14,0,8,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.model,VersionCheckExcludes,159,0,22,0,33,0,20,0,9,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.version,VersionResolutionElement,130,0,18,0,31,0,19,0,10,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.version,VersionResolution,106,0,10,0,23,0,14,0,9,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.version,VersionResolutionCollection,170,0,16,0,39,0,21,0,13,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.mojo,DependencyVersionsListMojo,360,0,40,0,61,0,26,0,6,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.mojo,DependencyVersionsCheckMojo,470,0,60,0,88,0,36,0,6,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.mojo,HelpMojo,893,0,110,0,159,0,71,0,16,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.dependency,DependencyMapBuilder.ProjectKey,110,0,12,0,20,0,11,0,5,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.dependency,DependencyMap,21,0,0,0,6,0,3,0,3,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.dependency,DependencyMapBuilder,395,0,34,0,80,0,26,0,9,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.dependency,DependencyTreeResolver,707,0,56,0,136,0,45,0,17,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,AbstractDependencyVersionsMojo,273,0,12,0,56,0,24,0,18,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,CheckExclusionsFilter,57,0,10,0,10,0,7,0,2,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,ScopeLimitingFilter,157,0,18,0,33,0,21,0,7,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,ScopeLimitingFilter.Scope,54,0,0,0,2,0,1,0,1,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,PluginLog,215,0,2,0,56,0,11,0,10,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,QualifiedName,127,260,16,24,31,35,21,22,7,16
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,StrategyCache,117,0,8,0,24,0,9,0,5,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc,QualifiedNameMatcher,2,136,4,12,0,24,4,9,0,5
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.strategy,DefaultStrategyProvider,34,0,0,0,7,0,4,0,4,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.strategy,TwoDigitsBackwardCompatibleVersionStrategy,23,0,4,0,7,0,7,0,5,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.strategy,AprVersionStrategy,110,0,8,0,21,0,15,0,11,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.strategy,SingleDigitVersionStrategy,32,0,2,0,5,0,4,0,3,0
dependency-versions-check-maven-plugin,org.basepom.mojo.dvc.strategy,DefaultVersionStrategy,13,0,2,0,3,0,4,0,3,0
